me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5194400,5194400,5194400,5194400,5194400,5194400,5194400,5194400,5194400,5194400,5194400,5194400,5225000,5225000,5225000,5225000,5225000,5225000,5225000,5225000,5225000,5225000,5225000,5225000,5024600,5024600,5024600,5024600,5024600,5024600,5024600,5024600,5024600,5024600,5024600,5024600,3177900,3177900,3177900,3177900,3177900,3177900,3177900,3177900,3177900,3177900,3177900,3177900,3188100,3188100,3188100,3188100,3188100,3188100,3188100,3188100,3188100,3188100,3188100,3188100,3311800,3311800,3311800,3311800,3311800,3311800,3311800,3311800,3311800,3311800,3311800,3311800
Excess return,Industrials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029283304,-0.124297756,-0.077376343,-0.071912453,-0.057382367,-0.106045207,-0.0905373,0.094324323,-0.10925006,-0.108244486,-0.048292528,-0.081877735,-0.066167995,0.003352778,-0.086775311,-0.066897891,-0.020070401,-0.076384374,0.028975297,0.004466692,-0.033852068,-0.08890614,-0.126283029,0.007569748,-0.126246384,-0.001886881,-0.072550371,-0.066783054,-0.039271071
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0769,0.6222,0.6238,0.5186,0.4484,0.4481,0.1871,0.1428,0.2495,0.2545,0.241,0.2388,0.2389,0.1991,0.1951,0.2189,0.2041,0.1234,0.1099,0.1323,0.1256,0.2413,0.297,0.2842,0.2354,0.1882,0.1955,0.2056,
VO monthly avg,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346.31,621.85,494.15,176.9,111.3,117.18,159.1,248.27,338.7,145.29,160.87,502.08,200.8,393.49,281.53,216.84,279.53,242.36,193.08,287.68,415.61,475.91,388.2,496.72,323.44,237.1,247.39,313.05,284.13,214.72
Total assets,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5368400,5368400,5368400,5368400,5368400,5368400,5368400,5368400,5368400,5368400,5368400,5368400,5361100,5361100,5361100,5361100,5361100,5361100,5361100,5361100,5361100,5361100,5361100,5361100,5205700,5205700,5205700,5205700,5205700,5205700,5205700,5205700,5205700,5205700,5205700,5205700,5589900,5589900,5589900,5589900,5589900,5589900,5589900,5589900,5589900,5589900,5589900,5589900,5830500,5830500,5830500,5830500,5830500,5830500,5830500,5830500,5830500,5830500,5830500,5830500,6195400,6195400,6195400,6195400,6195400,6195400,6195400,6195400,6195400,6195400,6195400,6195400
Net sales,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5710600,5710600,5710600,5710600,5710600,5710600,5710600,5710600,5710600,5710600,5710600,5710600,5773600,5773600,5773600,5773600,5773600,5773600,5773600,5773600,5773600,5773600,5773600,5773600,6258700,6258700,6258700,6258700,6258700,6258700,6258700,6258700,6258700,6258700,6258700,6258700,6281000,6281000,6281000,6281000,6281000,6281000,6281000,6281000,6281000,6281000,6281000,6281000,6820800,6820800,6820800,6820800,6820800,6820800,6820800,6820800,6820800,6820800,6820800,6820800,7697800,7697800,7697800,7697800,7697800,7697800,7697800,7697800,7697800,7697800,7697800,7697800
common equity,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138500,138500,138500,138500,138500,138500,138500,138500,138500,138500,138500,138500,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,73600,107900,107900,107900,107900,107900,107900,107900,107900,107900,107900,107900,107900,2301100,2301100,2301100,2301100,2301100,2301100,2301100,2301100,2301100,2301100,2301100,2301100,2552800,2552800,2552800,2552800,2552800,2552800,2552800,2552800,2552800,2552800,2552800,2552800,2785500,2785500,2785500,2785500,2785500,2785500,2785500,2785500,2785500,2785500,2785500,2785500
Turnover ratio,Industrials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04%,0.38%,0.3%,0.11%,0.07%,0.07%,0.1%,0.15%,0.21%,0.09%,0.1%,0.31%,0.12%,0.24%,0.17%,0.13%,0.17%,0.15%,0.12%,0.18%,0.25%,0.29%,0.24%,0.3%,0.2%,0.14%,0.15%,0.19%,0.17%,0.13%
Return monthly,Industrials,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,-0.029283304,-0.006749156,0.040873057,0.040059347,0.048216833,0.000635093,0,0.180070723,-0.01598156,-0.019910986,0.033540472,0.000616665,0.014482705,0.082846078,-0.007784011,0.010742809,0.058037899,-0.004560174,0.101048997,0.072901592,0.045860732,0.00209576,-0.029172029,0.107324348,-0.035666184,0.085919719,0.019816129,0.025269746,-0.039271071
